主分類,子分類,説明
文學,中文文學（古典）,與中文古典文學（白話文運動前 ～1910年前）有關的問題。詩詞歌賦一概歸類至此。
文學,中文文學（近代、現代）,與中文古典文學（白話文運動後 ～1910年後）有關的問題。不分純文學、大眾文學、現代詩等一概納入。
文學,西方文學,與西方文學有關的問題（英、美、法、德等）。
文學,東方文學,與日本、印度、中東等中文以外，東方文學有關的問題。不分純文學、大眾文學、現代詩等一概納入，與動漫等其他分類有關者除外。
文學,繪本、童話、傳說,與繪本、童話、民間傳說有關的問題。
文學,中華神話,與中華神話有關的問題。
文學,世界神話,與中華以外神話有關的問題。
文學,宗教經典,宗教故事、宗教中與聖經或經典等文學性較強的問題。
文學,文學（其他）,上記以外分類到文學的問題。
文學,文學Crossover,與多個主分類或子分類有關，最後分類到文學的問題。
理科,物理學,與物理學有關的問題。
理科,化學,與化學有關的問題。
理科,數學、電腦科學,與數學、電腦科學有關的問題。
理科,醫學、衛生,與生物病理、疾病、藥物、營養有關的問題。
理科,生物學,與生物生理、生物學有關的問題。
理科,動植物,與生物學以外，動植物有關的問題。
理科,地球科學,與地球歷史（中新世、恐龍等）、地理學（地理形態、自然現象、水文、氣候）等有關的問題。
理科,天文學,與星座、物理學中天文範疇有關的問題。
理科,科技、資訊科技,與科學技術、資訊和通訊科技有關的問題。
理科,理科（其他）,與生活科學、獎項等有關，上記以外分類到科學的問題。
理科,理科Crossover,與多個主分類或子分類有關，最後分類到科學的問題。
地理,香港,與香港地理有關的問題。
地理,大中華地區,與中國、台灣、澳門等地理有關的問題。
地理,日本,與日本地理有關的問題。
地理,東南亞,上記以外與東南亞地區地理有關的問題。
地理,亞洲,東南亞地區以外與亞洲地理相關的問題。
地理,歐洲,與歐洲地理有關的問題。
地理,美加,與美國、加拿大地理有關的問題。
地理,其他地區,除上記以外與地球其他地區地理有關的問題。
地理,地圖,與大洲、地圖法、地圖等有關的問題。
地理,交通,與鐵路、道路、橋樑、航空器等，交通有關的問題。
地理,地理（其他）,國旗等，上記以外分類到地理的問題。
地理,地理Crossover,與多個主分類或子分類有關，最後分類到地理的問題。
社會,政治,與政治、政治學、政治人物、政治組織等有關的問題。
社會,法律,與法律條文、法學有關的問題。
社會,經濟,與經濟、經濟學有關的問題。
社會,商業、金融,與股票市場、市場學、管理學、會計學等商科有關的問題。包含具體企業名有關的問題除外。
社會,倫理、哲學,與倫理學、哲學有關的問題。
社會,心理學、社會學,與心理學、社會學有關的問題。
社會,宗教、神秘學,與教義、宗教儀式、宗教習俗、神秘學（占卜等）有關的問題。
社會,時事,與最近時事有關的問題，一旦失去時效性即可歸類到其他類型。
社會,軍事,與軍事有關的問題。
社會,社會（其他）,人類學、海外社會制度等，上記以外分類到社會的問題。
社會,社會Crossover,與多個主分類或子分類有關，最後分類到社會的問題。
生活,飲食,與食物、飲品、料理方法和器具等有關的問題。
生活,服飾、時尚,時尚品牌、服裝、化妝、珠寶、裝扮等，所有時尚有關的問題。
生活,生活,與香港有關，生活物品、生活常識等與生活息息相關的問題。
生活,興趣,園藝、手作、露營等，有關各種興趣的問題。
生活,企業團體,品牌、企業、商品名、非牟利組織等，與具體企業/團體有關的問題。
生活,生活（其他）,與香港無關的生活常識等，上記以外有關日常生活的問題。
生活,生活Crossover,與多個主分類或子分類有關，最後分類到生活的問題。
歷史,香港史,與香港歷史人物相關的問題。一般指開埠（1841年）以來的人物。
歷史,中國史（～魏晉南北朝）,中國「遠古至魏晉南北朝」歷史人物相關的問題。
歷史,中國史（隋～清中葉）,中國「隋唐至清代鴉片戰爭前」歷史人物相關的問題。
歷史,中國史（清末～）,中國「清代鴉片戰爭至今」歷史人物相關的問題。
歷史,世界史（古代～中世）,年代約為文藝復興前，與上記地區以外地區之歷史人物相關的問題。
歷史,世界史（近世）,年代約為文藝復興～第一次工業革命期間，與上記地區以外地區之歷史人物相關的問題。
歷史,世界史（近現代）,年代約為第一次工業革命後（1840～），與上記地區以外地區之歷史人物相關的問題。
歷史,歷史（其他）,歷史學、考古學等，上記以外有關歷史的問題。
歷史,歷史Crossover,與多個主分類或子分類有關，最後分類到歷史的問題。
語言,廣東話,與廣東話俗語、諺語、歇後語等有關的問題。
語言,諺語、俗語,在廣東話以外的語言中，與諺語、俗語有關的問題。
語言,成語,與中文成語有關的問題。
語言,中文,與中文文字、語法有關的問題。
語言,英文,與英文字詞、語法有關的問題。
語言,其他語言,與中英文外其他語言有關的問題。
語言,語言學,與中英文外其他語言語法、語言學有關的問題。
語言,語言（其他）,上記以外與語言有關的問題。
語言,語言Crossover,與多個主分類或子分類有關，最後分類到語言的問題。
運動,個人球類,乒乓球、網球等，單人可進行的球類運動。
運動,團體球類,足球、籃球等，必須以團體形式進行的球類運動。
運動,個人非球類,跳水、田徑、單車、體操等單人非球類運動。
運動,極限運動,登山、攀岩、潛水、跑酷等極限運動。
運動,格鬥技,拳擊、中國武術、劍擊、MMA、摔跤等格鬥運動。
運動,健體,瑜伽、健身、健美、氣功等，與強身健體、鍛煉身體能力有關的運動。
運動,電子競技,LOL、Dota 2、俄羅斯方塊等電子競技運動。
運動,車輛、動物運動,賽車、賽馬、馬術、賽鴿等運動。
運動,運動會、運動賽事,與奧運會、世界盃、LOL世界大賽特等運動比賽有關的問題。
運動,運動（其他）,上記以外與運動有關的問題。
運動,運動Crossover,與多個主分類或子分類有關，最後分類到體育的問題。
文化,中華文化、風俗,與禮儀、民間習俗、宗教儀式、宗教習俗、曆法等有關的問題。
文化,其他文化、風俗,與中華文化以外地區的禮儀、民間習俗、宗教儀式、宗教習俗、曆法等有關的問題。
文化,流行文化,與網絡用語、網絡迷因、流行事物等有關的問題。
文化,樂理、樂器,與音樂樂理、樂器有關的問題。
文化,古典樂,與古典音樂有關的問題。
文化,傳統音樂,與童謠、民謠、國歌等各地傳統音樂有關的問題。
文化,平面藝術,與攝影、書法、繪畫、街頭塗鴉等有關的問題。
文化,立體藝術,與雕塑、建築作品、建築様式等有關的問題。
文化,文化（其他）,上記以外與文化有關的問題。
文化,文化Crossover,與多個主分類或子分類有關，最後分類到文化的問題。
娛樂,動漫畫,有關動畫、漫畫、相關作家、特攝作品的問題。
娛樂,遊戲（電子）,有關電腦遊戲、街機遊戲、Console遊戲等電子遊戲的問題。
娛樂,遊戲（其他）,有關桌上遊戲、棋類遊戲、團體遊戲（紅綠燈）、個人遊戲（跳飛機）等有關的問題。
娛樂,映視劇集,有關電視劇、電視節目、記錄片等電視媒體有關的問題。
娛樂,電影（香港）,有關香港電影（港產片）的問題。
娛樂,電影（美國）,有關荷里活、華納兄弟、彼思動畫等美國電影的問題。
娛樂,電影（其他）,有關上記以外其他地區出產電影（含非動漫畫改編的動畫電影 eg. 你的名字。）的問題。
娛樂,廣東流行音樂,有關以廣東話作為主要語言的歌曲的問題。（或主要以廣東話創作的歌手的問題）
娛樂,其他流行音樂,上記以外其他語言歌曲的問題。
娛樂,娛樂（其他）,歌劇等上記以外有關娛樂的問題。
娛樂,娛樂Crossover,與多個主分類或子分類有關，最後分類到娛樂的問題。