question,answer,difficulty,topic,subtopic
"這個歐洲山脈橫跨法國、瑞士、意大利、德國和奧地利等國，是歐洲最高的山脈，最高峰為白朗峰，請問這個山脈是？",阿爾卑斯山,4,地理,歐洲
"這個斯堪的納維亞半島國家，擁有超過5萬個湖泊和眾多峽灣，被譽為「千湖之國」，首都為赫爾辛基，請問這個北歐國家是？",芬蘭,4.5,地理,歐洲
"這個歐洲國家由英格蘭、蘇格蘭、威爾士和北愛爾蘭組成，是歐洲最大的島國，請問這個以泰晤士河和「大笨鐘」著稱的國家是？",英國,4,地理,歐洲
"這個國家由50個州組成，面積約963萬平方公里，是世界第三大國，其國旗有13條紅白相間的條紋和50顆星星，請問這個國家是？",美國,4,地理,美加
"這個北美洲最大的湖泊，也是世界最大的淡水湖之一，面積約8.2萬平方公里，位於美國和加拿大邊境，請問這個五大湖中最大的湖是？",蘇必利爾湖,5,地理,美加
"這座山脈縱貫北美洲西部，全長約7200公里，從阿拉斯加一直延伸到墨西哥，請問這個北美最長的山脈是？",落基山脈,4.5,地理,美加
"這個美國西南部的大峽谷，由科羅拉多河切割形成，深達1800米，長446公里，是世界七大自然奇觀之一，請問這個國家公園是？",大峽谷,4,地理,美加
"這個世界著名的瀑布位於美國和加拿大邊境，由尼亞加拉河形成，每分鐘水流量超過168000立方米，請問這個北美最大的瀑布是？",尼亞加拉瀑布,4,地理,美加
"這個位於南美洲的國家擁有世界上最長的海岸線，是世界上最細長的國家，東臨安第斯山脈，西瀕太平洋，請問這個國家是？",智利,5,地理,其他地區
"這個位於印度洋的島國由1200多個珊瑚島組成，是世界上最低窪的國家，平均海拔僅1.5米，面臨海平面上升的威脅，請問這個國家是？",馬爾代夫,4.5,地理,其他地區
"這座位於非洲的山峰，海拔5895米，是非洲最高峰，也是世界最高的獨立山峰，請問這座被白雪覆蓋的山是？",乞力馬扎羅山,5,地理,其他地區
"這個國家是南半球面積最大的國家，也是世界第六大國，以悉尼歌劇院和大堡礁等景觀聞名，請問這個國家是？",澳洲,4,地理,其他地區
"這條南美洲最長的河流，全長約6400公里，流域面積佔南美洲面積的40%，是世界上水量最豐富的河流，請問這條河流是？",亞馬遜河,4,地理,其他地區
"這幅以圓柱投影法繪製的世界地圖，保持了方位的正確性，但面積和形狀會有變形，被廣泛用於航海導航，請問這種地圖投影法是？",麥卡托投影,5.5,地理,地圖
"在國際標準地圖製作中，以本初子午線為基準劃分東西，以赤道為基準劃分南北，請問這個被公認為本初子午線的經線是？",格林威治子午線,5,地理,地圖
"這種圓柱投影法繪製的地圖會將地球兩極區域面積誇大，而保持方向角度正確，請問這種主要用於航海的地圖投影法是？",麥卡托投影,5.5,地理,地圖
"在地圖上，通常以不同顏色表示不同的海拔高度，請問在實體地形圖上表示平原區域最常用的顏色是？",綠色,4,地理,地圖
"這條全長118公里的高速鐵路連接香港和中國內地，於2018年啟用，最高時速可達每小時350公里，請問這條鐵路是？",廣深港高速鐵路,4.5,地理,交通
"這座長約1377米的懸索橋連接青衣島和馬灣，是香港最長的行車及鐵路雙用橋，請問這座橋樑是？",汀九橋,5,地理,交通
"這條連接香港國際機場和香港市區的鐵路，全長35.3公里，於1998年啟用，行車時間約24分鐘，請問這條鐵路是？",機場快線,4,地理,交通
"這座位於香港新界的海底隧道連接沙田和將軍澳，全長約4.2公里，是香港最長的行車隧道，請問這條隧道是？",將軍澳隧道,5,地理,交通
"這個香港重要交通樞紐連接香港島、九龍和新界，每日服務逾50萬人次，是全球最繁忙的鐵路車站之一，請問這個車站是？",中環站,4.5,地理,交通
"這種現象發生於熱帶氣旋中心氣壓低導致海水湧升，加上風力和地形等因素，使海水水位大幅上升，請問這種現象是？",風暴潮,5,地理,地理（其他）
"這種地形多見於熱帶和亞熱帶地區，由於生態系統豐富，被稱為「海洋中的熱帶雨林」，請問這種由珊瑚蟲遺骸形成的地貌是？",珊瑚礁,4,地理,地理（其他）
"這個位於香港西貢的世界級地質公園，因擁有約1.4億至1.7億年前形成的六角形岩柱而聞名，請問這個地質公園是？",香港聯合國世界地質公園,4.5,地理,地理（其他）
"這種風景區主要由喀斯特地貌構成，以石灰岩峰林、溶洞、暗河等地質特徵著稱，最著名的例子在中國廣西，請問這種地貌是？",喀斯特地貌,5,地理,地理（其他）
"這種自然現象會使低緯度地區的日照時間較為均衡，而高緯度地區則會出現極晝或極夜現象，請問這種與地球自轉軸傾角有關的現象是？",晝夜長短變化,4.5,地理,地理（其他）
"這個建築群結合了中國傳統建築和西方設計元素，是香港最著名的主題樂園之一，於2005年在大嶼山開幕，請問這個樂園是？",香港迪士尼樂園,4,地理,地理Crossover
"這個地區橫跨香港和深圳，面積約3.89平方公里，旨在促進兩地科技創新合作，請問這個兩地合作區是？",河套深港科技創新合作區,5,地理,地理Crossover
"這個被稱為「東方之珠」的地區，以其獨特的地理位置和發展歷程成為世界金融中心，回歸中國前曾為英國殖民地，請問這個地方是？",香港,4,地理,地理Crossover
"這個同時位於中國及哈薩克斯坦的湖泊，是中亞最大的內陸湖泊，由於氣候變化導致湖面逐漸萎縮，請問這個湖泊是？",巴爾喀什湖,5.5,地理,地理Crossover
"這個峽谷位於巴拿馬，連接大西洋和太平洋，大大縮短了國際航運路線，請問這個人工開鑿的水道是？",巴拿馬運河,4.5,地理,地理Crossover
題目,答案,難度,主分類,子分類
它是香港特別行政區的憲制性文件，於1990年4月4日由第七屆全國人民代表大會第三次會議通過，並明確闡述國家對香港的基本方針政策，請問這份重要文件是什麼？,基本法,2.0,社會,政治
香港特別行政區的行政長官由選舉委員會選出，然後由這個政府任命，請問是哪個政府？,中央人民政府,2.5,社會,政治
在香港立法會中，議案通常需要分別獲得功能界別和這個界別的過半數議員支持才能通過，這被稱為「分組點票」機制，請問是哪個界別？,地區直選,3.5,社會,政治
它是中國的最高國家權力機關，由全國各省、自治區、直轄市和軍隊選出的代表組成，每年舉行一次會議，請問這個機構的名稱是？,全國人民代表大會,3.0,社會,政治
這個委員會是香港特區政府的最高決策機構，由行政長官擔任主席，成員包括各司長、各局長等主要官員，請問是什麼委員會？,行政會議,3.0,社會,政治
香港特別行政區的法律制度建基於法治和司法獨立的原則，沿用英國的這套法律體系，以法官的判決先例作為裁決依據，請問這套法律體系稱為什麼？,普通法,2.0,社會,法律
在香港的司法體系中，負責審理較嚴重刑事案件和較大金額民事訴訟的法院，同時也是上訴法院所在地，請問是哪一間法院？,高等法院,2.5,社會,法律
根據《基本法》第八十一條，這個機構是香港特別行政區的終審法院，由首席法官和若干名常任法官組成，請問是什麼法院？,終審法院,2.0,社會,法律
在香港的法律體系中，這類律師主要負責接見當事人、提供法律意見和準備法律文件，但通常不直接在法庭上代表當事人，請問這類律師稱為什麼？,事務律師,3.0,社會,法律
在香港的法庭上，這類法律專業人士穿著黑色長袍和戴假髮，主要負責在法庭上代表當事人進行訴訟，請問他們被稱為什麼？,大律師,3.0,社會,法律
香港被評為全球最自由的經濟體系之一，採取低稅率和自由貿易政策，這種經濟體系被稱為什麼？,自由市場經濟,2.5,社會,經濟
香港是亞洲重要的金融中心，這個機構負責維持港元穩定和管理外匯基金，相當於其他地區的中央銀行，請問是什麼機構？,香港金融管理局,2.5,社會,經濟
香港經濟主要依賴第三產業，其中這個行業佔香港本地生產總值比重最大，是香港的四大支柱產業之一，涉及股票、債券等交易，請問是什麼行業？,金融服務業,2.0,社會,經濟
香港實行與美元掛鉤的聯繫匯率制度，由1983年開始實施至今，規定港元兌美元的匯率保持在這個比例，請問是多少？,7.8,3.5,社會,經濟
香港作為國際金融中心，擁有亞洲最大的這種市場之一，主要交易股票、期貨和期權等金融產品，請問是什麼市場？,證券市場,2.0,社會,經濟
這個在香港交易所上市的指數反映了香港股市的整體表現，由恆生銀行於1969年創立，是觀察香港股市最主要的指標，請問是什麼指數？,恆生指數,2.0,社會,商業、金融
在投資領域中，這種策略強調分散投資於不同種類的資產，如股票、債券和現金等，以降低整體風險，請問這種策略稱為什麼？,資產配置,3.0,社會,商業、金融
在企業財務報表中，這份文件反映了企業在特定時間點的財務狀況，包括資產、負債和股東權益，請問是什麼報表？,資產負債表,2.5,社會,商業、金融
在商業領域中，這個英文字母縮寫代表首次公開募股，是公司將股票首次在公開市場上發行和交易的過程，請問這個縮寫是什麼？,IPO,2.5,社會,商業、金融
在銀行業務中，這種存款要求客戶將資金存入銀行一段固定時間，通常利率比活期存款高，提前取款會有罰款，請問這種存款稱為什麼？,定期存款,2.0,社會,商業、金融
這位中國古代哲學家主張「道法自然」，著有《道德經》，是道家學派的創始人，請問他是誰？,老子,2.0,社會,倫理、哲學
這位古希臘哲學家是蘇格拉底的學生，創辦了雅典學院，著有《理想國》等著作，請問他是誰？,柏拉圖,2.5,社會,倫理、哲學
它是中國傳統文化的重要概念，強調人與人之間的互相關愛和尊重，是儒家思想的核心價值之一，也是為人處世的基本準則，請問是什麼？,仁,2.5,社會,倫理、哲學
這位中國古代思想家主張「天人合一」、「齊物論」，著有《莊子》，提倡逍遙自在的生活態度，請問他是誰？,莊子,2.0,社會,倫理、哲學
這位德國哲學家提出「絕對命令」的道德準則，著有《純粹理性批判》等著作，是啟蒙時代最重要的思想家之一，請問他是誰？,康德,3.0,社會,倫理、哲學
這位奧地利心理學家提出「潛意識」的概念，創立精神分析學派，著有《夢的解析》等著作，請問他是誰？,弗洛伊德,2.0,社會,心理學、社會學
在心理學中，這種現象是指人傾向於尋找能夠證實自己已有觀點或假設的資訊，而忽略不符合的證據，請問這種心理偏誤稱為什麼？,確認偏誤,3.0,社會,心理學、社會學
這位瑞士心理學家提出「集體無意識」和「原型」的概念，創立分析心理學派，曾與弗洛伊德合作，請問他是誰？,榮格,2.5,社會,心理學、社會學
在心理學實驗中，當參與者知道自己在接受測試時可能表現出非自然的反應，這種影響實驗結果的現象被稱為什麼效應？,霍桑效應,4.0,社會,心理學、社會學
這位美國心理學家以「需求層次理論」著稱，將人類需求分為生理、安全、社交、尊重和自我實現五個層次，請問他是誰？,馬斯洛,2.5,社會,心理學、社會學
這本書是基督教的聖典，分為舊約和新約兩部分，包含了從創世紀到啟示錄等多個篇章，請問這本書是什麼？,聖經,1.5,社會,宗教、神秘學
這個宗教以釋迦牟尼為創始人，強調「四聖諦」和「八正道」，修行目標是達到涅槃境界，請問是什麼宗教？,佛教,1.5,社會,宗教、神秘學
這個宗教的信徒信奉真主阿拉，每天需要禱告五次，以麥加為朝聖地，《古蘭經》是其主要經典，請問是什麼宗教？,伊斯蘭教,1.5,社會,宗教、神秘學
在中國傳統文化中，這種活動依據「八字」推算個人命運，通過分析天干地支、陰陽五行來預測吉凶，請問是什麼？,算命,2.0,社會,宗教、神秘學
這位宗教人物是基督教的創始人，據信曾在十字架上被釘死並於第三天復活，他的誕生日被基督徒紀念為聖誕節，請問他是誰？,耶穌,1.5,社會,宗教、神秘學
2022年2月，這個國家對烏克蘭發動大規模軍事入侵，引發國際社會強烈譴責和經濟制裁，請問是哪個國家？,俄羅斯,2.0,社會,時事
2023年10月7日，這個巴勒斯坦伊斯蘭主義組織對以色列發動襲擊，導致以色列對加薩地帶展開大規模軍事行動，請問是哪個組織？,哈馬斯,2.5,社會,時事
這位企業家創立了特斯拉和SpaceX等公司，2022年收購了社交媒體平台Twitter並將其更名為X，請問他是誰？,伊隆·馬斯克,2.0,社會,時事
這種於2019年底首次在武漢發現的病毒引發全球大流行，導致各國實施社交距離措施和旅行限制，請問這種病毒的常用名稱是什麼？,新冠病毒,1.5,社會,時事
這個於2023年11月在阿聯酋迪拜舉行的國際會議，討論全球氣候變化問題和減排目標，是聯合國氣候變化框架公約締約方大會，請問是第幾屆？,28,3.5,社會,時事
這個由美國、加拿大和歐洲多國組成的軍事聯盟成立於1949年，旨在提供集體防禦，目前已擴展至包括32個成員國，請問是什麼組織？,北約,2.0,社會,軍事
這艘於1912年服役的英國豪華郵輪在首航途中與冰山相撞沉沒，造成1500多人遇難，後來被拍成好萊塢電影，請問這艘船的名字是什麼？,鐵達尼號,2.0,社會,軍事
這場於1939年至1945年間的全球性軍事衝突，參戰國包括同盟國和軸心國，是人類歷史上規模最大、傷亡最慘重的戰爭，請問是什麼？,第二次世界大戰,1.5,社會,軍事
在現代軍事中，這種無人駕駛的飛行器可以遠程操控，用於偵察、監視和打擊目標，減少了飛行員的傷亡風險，請問是什麼？,無人機,2.0,社會,軍事
這座位於美國弗吉尼亞州的五邊形建築是美國國防部的總部，也是世界上最大的辦公樓之一，請問它的名稱是什麼？,五角大樓,2.5,社會,軍事
這個於1945年成立的國際組織旨在維護國際和平與安全，促進國際合作，總部位於紐約，目前有193個成員國，請問是什麼組織？,聯合國,1.5,社會,社會（其他）
這種社會制度在北歐國家（如瑞典、挪威）特別發達，強調普遍性的社會保障、免費教育和醫療服務，請問這種制度稱為什麼？,福利國家,2.5,社會,社會（其他）
這個國際組織關注人權問題，經常發布各國人權狀況報告，以「蠟燭包圍鐵絲網」為標誌，請問是什麼組織？,國際特赦組織,3.0,社會,社會（其他）
這種社會現象指人口從農村向城市遷移的過程，伴隨著城市規模擴大和城市人口比例上升，請問稱為什麼？,城市化,2.0,社會,社會（其他）
這個於1980年代在瑞士達沃斯創立的國際組織每年舉辦全球政商領袖會議，討論世界經濟議題，請問是什麼論壇？,世界經濟論壇,3.0,社會,社會（其他）
這個國際體育賽事每四年舉行一次，由國際奧林匹克委員會主辦，包括田徑、游泳、體操等多個項目的比賽，請問是什麼賽事？,奧林匹克運動會,1.5,社會,社會Crossover
這種藝術形式起源於19世紀末的法國，強調捕捉光線和色彩的變化，代表畫家包括莫奈和雷諾阿，請問是什麼畫派？,印象派,2.5,社會,社會Crossover
這個獎項由瑞典諾貝爾基金會設立，每年頒發給在物理、化學、生理學或醫學、文學、和平等領域有傑出貢獻的人，請問是什麼獎？,諾貝爾獎,1.5,社會,社會Crossover
這個位於中國北京的廣場是世界上最大的城市廣場之一，曾發生過多次重大歷史事件，位於故宮南側，請問是什麼廣場？,天安門廣場,2.0,社會,社會Crossover
這部1997年上映的電影講述了一艘郵輪沉沒的故事，由李奧納多·狄卡皮歐和凱特·溫斯蕾主演，獲得11項奧斯卡獎，請問是什麼電影？,鐵達尼號,2.0,社會,社會Crossover
"這種飲品在香港茶餐廳非常受歡迎，通常用錫蘭紅茶加入濃縮淡奶製成，有「絲襪」的暱稱。請問這種香港特色飲品是什麼？",港式奶茶,1.0,生活,飲食
"這種粵式點心是由蝦肉做成的半透明餃子，外形像水晶，蒸熟後可蘸醬油或辣醬食用。請問這種點心叫什麼名字？",蝦餃,1.0,生活,飲食
"這種香港流行的甜品，主要原料是芒果、椰汁、西米和牛奶，清涼爽滑，夏天特別受歡迎。請問這種甜品叫什麼？",楊枝甘露,1.5,生活,飲食
"這種源自廣東的食物，是把米漿倒入淺盤蒸熟，上面鋪上各種配料，常見於香港早餐和點心時間。請問這種米製品叫什麼？",腸粉,1.0,生活,飲食
"這種食物是香港街頭小吃的代表，由魚肉和麵粉製成，做成小圓球狀，通常在熱湯或咖哩汁中煮熟食用，口感彈牙。請問這種小吃是什麼？",魚蛋,1.0,生活,飲食
"這種傳統中式服裝在20世紀初至60年代在香港非常流行，特點是高領、貼身剪裁和開衩，後來成為了華人女性的經典裝束。請問這種服裝叫什麼？",旗袍,1.0,生活,時尚
"這個由香港設計師鄧達智於1987年創立的時裝品牌，以簡約時尚設計聞名，成為香港具代表性的國際時裝品牌之一。請問這個品牌名稱是什麼？",G2000,1.5,生活,時尚
"這位出生於香港的國際著名時裝設計師，曾為多位荷里活明星和名人設計服裝，包括莎拉潔西卡派克和艾瑪史東，更獲邀為美國第一夫人米歇爾·奧巴馬設計禮服。請問這位設計師是誰？",馬詩慧,2.0,生活,時尚
"這個於1992年在香港上市的國際鞋履品牌，總部設在香港，以舒適且時尚的設計聞名，現已在中國內地和香港擁有超過2,000家分店。請問這個品牌是什麼？",百麗,1.5,生活,時尚
"這種傳統中式男裝在香港早期非常普遍，由一件長衫和一件馬褂組成，是中式紳士的標準穿著。請問這種傳統服飾叫什麼？",長衫馬褂,1.5,生活,時尚
"這種在香港小型住宅中常見的家具，通常是一張可摺疊的桌子，用餐時打開，不用時可折疊收起以節省空間。請問這種節省空間的家具叫什麼？",摺枱,1.0,生活,居家
"在香港的傳統習俗中，這種紅色物品會掛在家門口或室內，上面寫著吉祥話，用來帶來好運和祝福，特別是在農曆新年期間。請問這是什麼物品？",揮春,1.0,生活,居家
"這種風水物品在許多香港家庭和商店中都能看到，通常放在門口或櫃檯，據說能招財進寶。它的造型是一隻舉起左手或右手的貓。請問這個招財物品叫什麼？",招財貓,1.0,生活,居家
"在香港的舊式唐樓設計中，這個區域通常位於建築物的中央，用作通風和採光，居民有時也會在此區域晾衣服。請問這種建築設計叫什麼？",天井,1.5,生活,居家
"香港人傳統上認為這種家居設計有助於改善家居運勢，講究座向、擺設和顏色，許多人在搬家或裝修時都會諮詢相關專家。請問這種中國傳統理論叫什麼？",風水,1.0,生活,居家
"這種傳統中式療法在香港很受歡迎，透過在皮膚上放置小杯子並抽走空氣，以改善血液循環和緩解肌肉疼痛。請問這種治療方法叫什麼？",拔罐,1.5,生活,健康
"這種源自中國的傳統運動在香港的公園清晨經常可見，動作緩慢而優美，強調呼吸控制和身體平衡，有助於放鬆身心。請問這種運動叫什麼？",太極,1.0,生活,健康
"在香港的中醫診所常見的這種治療方法，通過將細針插入體表特定穴位，調節氣血平衡，緩解各種健康問題。請問這種中醫療法叫什麼？",針灸,1.0,生活,健康
"這種在香港常見的季節性疾病，每年通常在冬季和春季流行，症狀包括發熱、咳嗽和喉嚨痛，香港政府會提供疫苗接種計劃預防。請問這種疾病叫什麼？",流感,1.0,生活,健康
"這種中式按摩療法在香港很受歡迎，專門針對腳部的不同反射區，據說可以通過刺激這些區域來影響身體的相應器官。請問這種按摩叫什麼？",足底按摩,1.0,生活,健康
"這個位於香港的主題公園於2005年開幕，擁有七個主題區域，包括美國小鎮大街、幻想世界、明日世界和探險世界等。請問這個主題公園叫什麼？",香港迪士尼樂園,1.0,生活,休閒
"這個位於香港的地標建築，高達118層，是香港最高的摩天大樓，頂部設有觀景台，遊客可以360度俯瞰維多利亞港全景。請問這座建築物叫什麼？",環球貿易廣場,1.5,生活,休閒
"這種香港傳統娛樂形式，演員穿著華麗服飾，伴隨鑼鼓聲演唱，表演古代故事和神話傳說，被列入聯合國教科文組織非物質文化遺產。請問這種表演藝術叫什麼？",粵劇,1.0,生活,休閒
"這個位於香港島南區的海灘，因其清澈的海水和細軟的沙灘而聞名，是香港最受歡迎的海灘之一，每年夏天都吸引大量遊客前往游泳和日光浴。請問這個海灘叫什麼？",淺水灣,1.0,生活,休閒
"這種源自英國的體育活動在香港非常受歡迎，特別是在沙田和跑馬地的專門場地舉行，吸引大量市民參與投注。請問這項體育活動是什麼？",賽馬,1.0,生活,休閒
這個朝代是中國歷史上第一個統一的帝國，其皇帝下令焚書坑儒，並修建萬里長城。這個朝代的國號是什麼？,秦朝,1.5,歷史,中國古代史
中國古代歷史上，這位皇帝統一六國建立大一統王朝，並且為防止北方匈奴入侵而修築長城，還實行車同軌、書同文的政策。這位皇帝是誰？,秦始皇,1.0,歷史,中國古代史
這項發明於漢朝時期出現，最初用於指示方向，對中國和世界的航海事業有巨大貢獻，被譽為中國古代四大發明之一。這項發明是什麼？,指南針,1.0,歷史,中國古代史
在中國古代，這個龐大的軍事工程主要由秦始皇統一中國後下令修建，後來歷代不斷修繕擴建，其目的是防止北方遊牧民族入侵。這個工程是什麼？,萬里長城,1.0,歷史,中國古代史
這位漢朝開國皇帝原本是一名亭長，起兵反抗秦朝暴政，經過楚漢之爭最終打敗項羽，建立了延續四百年的王朝。這位皇帝是誰？,劉邦,1.5,歷史,中國古代史
這場發生於1919年的運動由北京大學學生發起，是為了抗議巴黎和會中國外交失敗和日本獲得山東的權益。這場運動的名稱是什麼？,五四運動,1.5,歷史,中國近代史
這位革命家被尊稱為「國父」，他提出了三民主義理論，並成功領導了推翻清朝統治的辛亥革命。這位革命家是誰？,孫中山,1.0,歷史,中國近代史
這場戰爭始於1840年，英國以保護商業利益為藉口向中國宣戰，最終導致清朝簽訂了《南京條約》，割讓香港島給英國。這場戰爭的名稱是什麼？,第一次鴉片戰爭,1.5,歷史,中國近代史
這個政治理論由孫中山提出，包含民族、民權、民生三個核心部分，成為中華民國建國的指導思想。這個理論的名稱是什麼？,三民主義,1.5,歷史,中國近代史
這個事件發生於1949年10月1日，當時國共內戰已基本結束，這位領導人在北京天安門廣場宣告新中國成立。這位領導人是誰？,毛澤東,1.0,歷史,中國近代史
這場革命爆發於1789年，人民推翻了波旁王朝的統治，廢除了封建特權，並提出「自由、平等、博愛」的口號，對歐洲和世界產生深遠影響。這場革命發生在哪個國家？,法國,1.5,歷史,世界史
這場始於18世紀中葉的重大技術和社會變革，首先在英國開始，帶來了機械化生產和工廠制度，蒸汽機的發明是其中的重要標誌。這場變革的名稱是什麼？,工業革命,1.5,歷史,世界史
這個古老的文明被認為是西方民主制度的發源地，曾發展出公民投票制度，雅典是其重要城邦，對西方哲學和科學有深遠影響。這個文明是什麼？,古希臘,1.5,歷史,世界史
這位羅馬軍事和政治領袖在征服高盧後，回師羅馬並推翻了共和國制度，成為獨裁者，最終在公元前44年被刺殺身亡。這位領袖是誰？,凱撒,2.0,歷史,世界史
這場全球性衝突從1939年持續到1945年，是人類歷史上傷亡最慘重的戰爭，主要參與國包括同盟國（英國、蘇聯、美國等）和軸心國（德國、日本、意大利等）。這場戰爭的名稱是什麼？,第二次世界大戰,1.0,歷史,世界史
這份於1984年簽署的重要文件，由中國和英國兩國政府代表簽訂，確定了香港將於1997年7月1日回歸中國。這份文件的正式名稱是什麼？,中英聯合聲明,1.5,歷史,香港史
根據這份1842年簽訂的條約，清朝政府將香港島割讓給英國，標誌著香港開始成為英國殖民地。這份條約的名稱是什麼？,南京條約,1.5,歷史,香港史
這個香港地標是英國殖民時期保留至今的政府建築，位於中環，曾是香港總督府，現在是特區政府舉辦重要儀式的場所。這個地標的名稱是什麼？,禮賓府,2.0,歷史,香港史
這個時期從1960年代至1980年代，香港經濟快速發展，從勞動密集型製造業起步，逐漸轉型為亞洲重要的金融中心，被稱為「亞洲四小龍」之一。這個經濟現象通常被稱為什麼？,香港經濟奇蹟,1.5,歷史,香港史
這個重要歷史事件發生於1997年7月1日，英國結束對香港154年的統治，主權正式交還給中國，實行「一國兩制」政策。這個事件通常被稱為什麼？,香港回歸,1.0,歷史,香港史
這場始於1861年，持續到1865年的內戰，是因為南北方對奴隸制度的分歧而爆發，最終由北方取得勝利，並廢除了奴隸制度。這場戰爭發生在哪個國家？,美國,1.5,歷史,戰爭史
這場戰爭於1950年爆發，以38度線為界，南北雙方相互對峙，有美國和中國等國家的參與，最終於1953年簽訂停戰協議，但並未簽訂和平條約。這場戰爭的名稱是什麼？,韓戰,1.5,歷史,戰爭史
這場位於比利時的決定性戰役於1815年6月發生，是拿破崙戰爭的最後一役，英國威靈頓公爵和普魯士元帥布呂歇爾聯合擊敗了拿破崙的軍隊。這場戰役的名稱是什麼？,滑鐵盧戰役,2.0,歷史,戰爭史
這場持續了4年的全球性戰爭從1914年開始，主要由協約國（英法俄等）和同盟國（德奧土等）兩大陣營對抗，最終以同盟國戰敗告終。這場戰爭的名稱是什麼？,第一次世界大戰,1.0,歷史,戰爭史
這場戰爭始於1955年，美國為阻止共產主義在東南亞蔓延而大規模介入，最終於1975年以美軍撤出，西貢（現胡志明市）淪陷而告終。這場戰爭的名稱是什麼？,越戰,1.5,歷史,戰爭史
